7/30/10,"6,897"
7/31/10,"5,564"
8/1/10,"4,303"
8/2/10,"6,642"
8/3/10,"7,966"
8/4/10,"7,893"
8/5/10,"8,724"
8/6/10,"9,797"
8/7/10,"6,631"
8/8/10,"7,864"
8/9/10,"6,191"
8/10/10,"4,802"
8/11/10,"14,013"
8/12/10,"13,080"
8/13/10,"12,151"
8/14/10,"9,195"
8/15/10,"10,928"
8/16/10,"15,384"
8/17/10,"15,396"
8/18/10,"16,062"
8/19/10,"17,170"
8/20/10,"16,462"
8/21/10,"11,719"
8/22/10,"10,129"
8/23/10,"12,935"
8/24/10,"17,006"
8/25/10,"10,062"
8/26/10,"9,875"
8/27/10,"12,854"
8/28/10,"10,116"
8/29/10,"7,811"
8/30/10,"10,534"
8/31/10,"17,508"
9/1/10,"19,332"
9/2/10,"20,909"
9/3/10,"20,113"
9/4/10,"14,373"
9/5/10,"12,924"
9/6/10,"16,841"
9/7/10,"25,361"
9/8/10,"18,727"
9/9/10,"20,774"
9/10/10,"19,532"
9/11/10,"13,383"
9/12/10,"14,002"
9/13/10,"18,037"
9/14/10,"17,026"
9/15/10,"20,890"
9/16/10,"20,433"
9/17/10,"20,488"
9/18/10,"15,495"
9/19/10,"11,492"
9/20/10,"20,169"
9/21/10,"22,906"
9/22/10,"23,905"
9/23/10,"17,729"
9/24/10,"18,053"
9/25/10,"14,010"
9/26/10,"7,890"
9/27/10,"18,789"
9/28/10,"21,554"
9/29/10,"13,899"
9/30/10,"21,823"
10/1/10,"11,424"
10/2/10,"10,704"
10/3/10,"8,237"
10/4/10,"23,688"
10/5/10,"22,054"
10/6/10,"20,114"
10/7/10,"24,072"
10/8/10,"22,886"
10/9/10,"14,463"
10/10/10,"14,871"
10/11/10,"21,986"
10/12/10,"23,016"
10/13/10,"22,251"
10/14/10,"21,582"
10/15/10,"20,934"
10/16/10,"12,735"
10/17/10,"12,764"
10/18/10,"20,464"
10/19/10,"17,964"
10/20/10,"20,750"
10/21/10,"21,161"
10/22/10,"20,164"
10/23/10,"11,584"
10/24/10,"11,259"
10/25/10,"18,430"
10/26/10,"13,950"
10/27/10,"19,559"
10/28/10,"19,995"
10/29/10,"19,119"
10/30/10,"13,493"
10/31/10,"8,739"
11/1/10,"19,785"
11/2/10,"21,754"
11/3/10,"27,964"
11/4/10,"22,424"
11/5/10,"15,815"
11/6/10,"11,877"
11/7/10,"9,331"
11/8/10,"11,328"
11/9/10,"16,026"
11/10/10,"19,767"
11/11/10,"12,901"
11/12/10,"14,534"
11/13/10,"12,123"
11/14/10,"6,235"
11/15/10,"18,086"
11/16/10,"18,764"
11/17/10,"17,005"
11/18/10,"15,974"
11/19/10,"18,545"
11/20/10,"10,806"
11/21/10,"8,356"
11/22/10,"17,258"
11/23/10,"17,427"
11/24/10,"18,628"
11/25/10,"16,822"
11/26/10,"16,092"
11/27/10,"7,867"
11/28/10,"6,866"
11/29/10,"16,681"
11/30/10,"9,263"
12/1/10,"9,848"
12/2/10,"7,356"
12/3/10,"8,264"
12/4/10,"7,857"
12/5/10,"8,321"
12/6/10,"13,855"
12/7/10,"15,033"
12/8/10,"15,225"
12/9/10,"16,171"
12/10/10,"15,602"
12/11/10,"10,328"
12/12/10,"8,585"
12/13/10,"14,997"
12/14/10,"15,550"
12/15/10,"13,412"
12/16/10,"10,833"
12/17/10,"10,366"
12/18/10,"2,805"
12/19/10,"2,764"
12/20/10,"6,876"
12/21/10,"7,879"
12/22/10,"9,718"
12/23/10,"8,867"
12/24/10,"5,402"
12/25/10,"5,621"
12/26/10,"4,383"
12/27/10,"3,971"
12/28/10,"3,763"
12/29/10,"7,010"
12/30/10,"7,464"
12/31/10,"7,448"
1/1/11,"4,555"
1/2/11,"6,250"
1/3/11,"7,262"
1/4/11,"13,430"
1/5/11,"13,757"
1/6/11,"9,595"
1/7/11,"9,294"
1/8/11,"9,338"
1/9/11,"10,558"
1/10/11,"16,058"
1/11/11,"16,412"
1/12/11,"13,894"
1/13/11,"15,911"
1/14/11,"14,834"
1/15/11,"11,851"
1/16/11,"10,471"
1/17/11,"10,835"
1/18/11,"17,703"
1/19/11,"18,350"
1/20/11,"17,957"
1/21/11,"16,509"
1/22/11,"10,658"
1/23/11,"9,911"
1/24/11,"17,193"
1/25/11,"17,045"
1/26/11,"16,396"
1/27/11,"16,519"
1/28/11,"15,538"
1/29/11,"9,379"
1/30/11,"9,455"
1/31/11,"16,260"
2/1/11,"16,331"
2/2/11,"18,102"
2/3/11,"15,593"
2/4/11,"14,938"
2/5/11,"8,442"
2/6/11,"9,437"
2/7/11,"16,537"
2/8/11,"19,829"
2/9/11,"18,197"
2/10/11,"11,496"
2/11/11,"16,070"
2/12/11,"12,855"
2/13/11,"7,034"
2/14/11,"17,836"
2/15/11,"15,667"
2/16/11,"18,989"
2/17/11,"18,938"
2/18/11,"17,460"
2/19/11,"6,250"
2/20/11,"7,882"
2/21/11,"13,720"
2/22/11,"15,948"
2/23/11,"12,936"
2/24/11,"19,230"
2/25/11,"18,634"
2/26/11,"7,749"
2/27/11,"8,349"
2/28/11,"13,843"
3/1/11,"15,774"
3/2/11,"16,929"
3/3/11,"16,576"
3/4/11,"16,971"
3/5/11,"9,847"
3/6/11,"7,142"
3/7/11,"16,192"
3/8/11,"17,240"
3/9/11,"18,494"
3/10/11,"18,794"
3/11/11,"19,074"
3/12/11,"15,488"
3/13/11,"10,526"
3/14/11,"19,451"
3/15/11,"19,568"
3/16/11,"19,643"
3/17/11,"20,036"
3/18/11,"14,612"
3/19/11,"17,801"
3/20/11,"14,694"
3/21/11,"20,710"
3/22/11,"21,792"
3/23/11,"23,837"
3/24/11,"23,518"
3/25/11,"24,343"
3/26/11,"16,095"
3/27/11,"17,550"
3/28/11,"21,602"
3/29/11,"22,080"
3/30/11,"18,945"
3/31/11,"20,831"
4/1/11,"22,048"
4/2/11,"19,829"
4/3/11,"17,294"
4/4/11,"20,949"
4/5/11,"16,690"
4/6/11,"25,597"
4/7/11,"25,451"
4/8/11,"26,622"
4/9/11,"22,323"
4/10/11,"21,346"
4/11/11,"22,204"
4/12/11,"23,651"
4/13/11,"18,909"
4/14/11,"22,346"
4/15/11,"22,974"
4/16/11,"19,632"
4/17/11,"22,009"
4/18/11,"24,032"
4/19/11,"27,914"
4/20/11,"27,934"
4/21/11,"26,547"
4/22/11,"23,719"
4/23/11,"19,182"
4/24/11,"21,313"
4/25/11,"21,669"
4/26/11,"22,038"
4/27/11,"24,349"
4/28/11,"23,794"
4/29/11,"19,700"
4/30/11,"21,574"
5/1/11,"19,489"
5/2/11,"18,126"
5/3/11,"23,786"
5/4/11,"26,183"
5/5/11,"23,620"
5/6/11,"28,971"
5/7/11,"22,274"
5/8/11,"21,011"
5/9/11,"27,172"
5/10/11,"29,417"
5/11/11,"27,205"
5/12/11,"23,461"
5/13/11,"23,991"
5/14/11,"21,100"
5/15/11,"19,097"
5/16/11,"24,620"
5/17/11,"25,464"
5/18/11,"23,068"
5/19/11,"27,534"
5/20/11,"27,523"
5/21/11,"24,408"
5/22/11,"19,348"
5/23/11,"24,268"
5/24/11,"27,768"
5/25/11,"28,708"
5/26/11,"18,055"
5/27/11,"22,907"
5/28/11,"15,693"
5/29/11,"18,396"
5/30/11,"16,097"
5/31/11,"23,312"
6/1/11,"26,054"
6/2/11,"26,920"
6/3/11,"26,641"
6/4/11,"15,233"
6/5/11,"8,420"
6/6/11,"13,812"
6/7/11,"22,378"
6/8/11,"23,013"
6/9/11,"25,061"
6/10/11,"20,141"
6/11/11,"21,059"
6/12/11,"6,061"
6/13/11,"23,978"
6/14/11,"28,889"
